stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Berlin Hbf (tief),247157,149006,52.52506,13.369167,
Berlin Hbf (tief),247157,229388,52.525143,13.369612,
Berlin Hbf (tief),247157,331169,52.525223,13.369887,
Berlin Hbf (tief),247157,476525,52.52519,13.369752,
Berlin Hbf (tief),247157,560027,52.52496,13.368911,
Berlin Hbf (tief),247157,635218,52.52511,13.369472,
Berlin Ostbahnhof,513544,150191,52.510242,13.434586,
Berlin Ostbahnhof,513544,21976,52.510178,13.434942,
Berlin Ostbahnhof,513544,253754,52.510414,13.435172,
Berlin Ostbahnhof,513544,41228,52.510475,13.43524,
Berlin Ostbahnhof,513544,591441,52.510254,13.435024,
Berlin Ostkreuz,104669,375715,52.502907,13.468553,
Berlin Ostkreuz,104669,88408,52.50304,13.468615,
Berlin Südkreuz,392079,188881,52.475925,13.365291,
Berlin Südkreuz,392079,195741,52.475685,13.365454,
Berlin Südkreuz,392079,24853,52.47565,13.365612,
Berlin Südkreuz,392079,378991,52.475887,13.365455,
Berlin Südkreuz,392079,460290,52.475407,13.365754,
Berlin Südkreuz,392079,99059,52.475433,13.365603,
Berlin Zoologischer Garten,136579,310382,52.50762,13.332927,
Berlin Zoologischer Garten,136579,464321,52.507652,13.332804,
Berlin Zoologischer Garten,136579,500433,52.507717,13.332555,
Berlin-Spandau,372944,101521,52.5346,13.197163,
Berlin-Spandau,372944,347670,52.534542,13.197124,
Berlin-Spandau,372944,390255,52.534485,13.1971,
Berlin-Spandau,372944,539674,52.534668,13.197191,
Berlin-Wannsee,157757,367607,52.421158,13.180074,
Berlin-Wannsee,157757,491858,52.421215,13.180006,
Bern,,393033,46.948833,7.439131,1
Bern,393033,559275,46.948833,7.439131,
Bernau(b Berlin),519553,100315,52.67533,13.592016,
Bernau(b Berlin),519553,59294,52.675426,13.591859,
Biberach ZOB/Bahnhof,,499157,48.101456,9.792795,1
Biberach(Riß),499157,248173,48.101936,9.792939,
Biberach(Riß),499157,344393,48.101994,9.793155,
Bielefeld Hbf,,97293,52.02941,8.533339,1
Bielefeld Hbf,97293,399030,52.029263,8.532722,
Bingen(Rhein) Hbf,499509,335481,49.969147,7.882717,
Bingen(Rhein) Hbf,499509,587663,49.968727,7.884263,
"Bingen, Hauptbahnhof",,499509,49.96874,7.883543,1
Binz (Ostseebad),,197005,54.404823,13.600502,1
Bischofshofen,,508162,47.41786,13.219888,1
Bischofshofen,508162,476466,47.41786,13.219888,
Bitterfeld,,38576,51.62286,12.316855,1
Bitterfeld,38576,545702,51.62286,12.31685,
Bludenz,,512482,47.154724,9.814564,1
Bludenz,512482,654632,47.154724,9.814564,
Bochnia,,460598,49.9773,20.430775,1
Bochnia,460598,29645,49.9773,20.430775,
Bochum Hbf,,159263,51.479465,7.223335,1
Bochum Hbf,159263,506082,51.478394,7.222859,
Bochum Hbf,159263,506265,51.47853,7.222715,
Bochum Hbf,159263,570729,51.478252,7.223012,
Bochum Hbf,159263,641061,51.478607,7.223275,
Bohumin,,410642,49.90073,18.359444,1
Bohumin,410642,288390,49.90073,18.359444,
Bologna Centrale,,291438,44.50614,11.343411,1
Bologna Centrale,291438,354168,44.50614,11.343411,
Bolzano/Bozen,,399932,46.496376,11.358791,1
Bolzano/Bozen,399932,332853,46.496376,11.358791,
Bondorf,,338027,48.52327,8.827879,1
Bondorf(b Herrenberg),338027,125509,48.52328,8.827735,
Bondorf(b Herrenberg),338027,197163,48.52329,8.827852,
Bonn Bad Godesberg Bf,,489018,50.68393,7.159555,1
Bonn Beuel Bf,,19431,50.738476,7.127656,1
Bonn Hbf,,409925,50.732006,7.097131,1
Bonn Hbf,409925,169640,50.731754,7.097203,
Bonn Hbf,409925,289458,50.73187,7.096987,
Bonn Hbf,409925,607152,50.731834,7.097275,
Bonn Hbf,409925,621011,50.73197,7.098954,
Bonn Hbf,409925,666491,50.73196,7.097364,
Bonn-Bad Godesberg,489018,70750,50.68379,7.159977,
Bonn-Beuel,19431,434842,50.738205,7.127862,
Bonn-Beuel,19431,453011,50.738728,7.126748,
Bonn-Beuel,19431,514573,50.737896,7.12815,
Boppard Hauptbahnhof,,625538,50.231403,7.586084,1
