stop_name,stop_id,stop_lat,stop_lon
Opole Glowne,543934,50.661514,17.925863
Osnabrück,207050,52.27313,8.060825
München Ost,663103,48.128056,11.603646
Osterholz-Scharmbeck,306062,53.222744,8.7974
Ostrava hl.n.,629474,49.852085,18.267262
Oswiecim,502197,50.041504,19.199724
Padborg st,118686,54.82425,9.358803
Paderborn,220892,51.712917,8.739925
Padova,306745,45.417824,11.88062
Papenburg,619761,53.090424,7.388122
Pardubice hl.n.,13757,50.03174,15.756211
Paris Est,388918,48.876976,2.35912
Pasewalk,460585,53.515038,13.989293
Pasing,480195,48.1489,11.460428
Passau,340308,48.57363,13.45078
Peine,645215,52.318928,10.232422
Pforzheim,471632,48.89365,8.703453
Pivka,108148,45.675255,14.191376
Plattling,220500,48.77962,12.863938
Plett.,511179,51.232162,7.869206
Plochingen,635221,48.71294,9.411299
Postojna,373628,45.7731,14.221469
Poznan Gl.,523200,52.401993,16.91087
Praha hl.n.,528015,50.08306,14.436039
Praha-Holesovice,439877,50.110214,14.440013
Prenzlau,218608,53.321613,13.866558
Prien am Chiemsee,116919,47.855515,12.346616
Przemysl Glowny,119952,49.78366,22.776363
Przeworsk,556898,50.067215,22.503357
Pörtschach am Wörther See,91294,46.6362,14.146231
RV,326531,47.784554,9.606673
Radolfzell,636255,47.735924,8.969031
Radstadt,283030,47.38424,13.467809
Rankweil,69164,47.273018,9.637252
Rastatt,228619,48.860622,8.215165
Recklinghausen,302895,51.61598,7.201371
Regensburg,480786,49.01167,12.099624
Remagen Bf,141115,50.57721,7.229767
Rendsburg,448986,54.302097,9.671307
Reutlingen,53300,48.49643,9.20951
Rheine,342662,52.276505,7.435733
Ribnitz-Damgarten West,636568,54.23918,12.436968
Riesa Busbf/,81072,51.3094,13.288383
Rijeka,52577,45.330135,14.430337
Ringsheim,420177,48.248672,7.773023
Ringsted st,156566,55.438038,11.786155
Roedekro st,20290,55.069687,9.332754
Rosenheim,134713,47.850018,12.119207
Rostock,366837,54.07818,12.130724
Rottweil,168977,48.165253,8.640661
Rovereto,561989,45.890564,11.033907
Rudolstadt,82210,50.718,11.339156
Rzepin,118181,52.350224,14.815073
Rzeszow Gl.,632943,50.043114,22.006798
S Bernau,519553,52.675686,13.592695
S Königs Wusterhausen,163845,52.29672,13.631534
S Oranienburg,482664,52.754486,13.248311
Berlin Ostbahnhof,513544,52.51033,13.435086
S Ostkreuz,104669,52.503113,13.469221
S Potsdam,66510,52.391445,13.067157
S Spandau,372944,52.534798,13.197477
Berlin Südkreuz,392079,52.475502,13.365552
S Wannsee,157757,52.421726,13.178932
Berlin,247157,52.525604,13.369075
Berlin Gesundbrunnen,169470,52.548637,13.388372
S+U Zoologischer Garten,136579,52.50692,13.332707
Saalfeld,265422,50.65049,11.374546
Saalfelden,203136,47.426857,12.829765
Saarbrücken,568425,49.24107,6.99102
Salzburg,179101,47.81305,13.04582
Salzburg Süd,545275,47.770226,13.078491
Sapjane,402315,45.477036,14.244352
Sapjane,96320,45.505157,14.244213
Sargans,215214,47.044823,9.44626
Schaffhausen,375167,47.69828,8.632756
Schladming,570118,47.393826,13.678151
Schleswig,402916,54.499516,9.538149
Schlüchtern,139447,50.340816,9.510662
Schorndorf,172490,48.80694,9.52569
Schw. Gmünd,311086,48.800285,9.787118
Schwarzach-St.Veit,104517,47.318535,13.154464
Schwerin,125084,53.6347,11.407499
Schwerte,534739,51.44227,7.559593
Schärding,112457,48.46372,13.442511
Schöna,641590,50.860054,14.222133
Selzthal,477562,47.550243,14.312841
Semmering,33868,47.639553,15.830923
Sevnica,528024,46.009678,15.301231
Siegburg Bf,546191,50.79392,7.203024
Siegen,247268,50.875893,8.016278
Siegen-Weidenau Bf,81482,50.895866,8.029861
Singen,619911,47.75903,8.841408
Skanderborg st,452459,56.043564,9.924497
Soest,62881,51.57811,8.104223
Solingen,217829,51.16073,7.003688
Sonthofen,410224,47.51324,10.272343
Sopot,490122,54.440166,18.562323
Spaichingen,237525,48.06909,8.74094
Spiez,11276,46.686398,7.680103
Spittal-Millstättersee,603874,46.7957,13.487416
St. Anton am Arlberg,254561,47.127563,10.26699
St. Gallen,161808,47.42318,9.369897
St. Georgen,559819,48.123844,8.342133
St. Johann im Pongau,151194,47.348377,13.194961
St. Johann in Tirol,26920,47.51962,12.430775
St. Margrethen SG,97677,47.453217,9.638262
St. Valentin,119367,48.179146,14.521846
St.Michael in Obersteiermark,135275,47.346622,15.009187
St.Pölten,505970,48.2083,15.624672
Stadt Rottenmann,420963,47.52723,14.367174
Stadtroda,119468,50.86817,11.723213
Stainach-Irdning,634180,47.529194,14.106753
Steinach,420960,49.45322,10.273538
Stendal,117452,52.59472,11.854412
Stralsund,188136,54.309105,13.077773
Strasbourg,393193,48.58534,7.734067
Straubing,86525,48.87698,12.574096
Stresa,594158,45.88453,8.531633
Sturovo,396071,47.800125,18.67992
Stuttgart,160095,48.784878,9.182794
Stuttgart Vaihingen,640024,48.72698,9.113912
Sulz,318155,48.367237,8.637724
Swiebodzin,507760,52.245144,15.53954
Szob,258762,47.821,18.862057
Szob,48926,47.824898,18.844774
Tarnow,560402,50.0054,20.97418
Tatabanya,574840,47.58493,18.393612
Tczew,97621,54.09732,18.790155
Telfs-Pfaffenhofen,159529,47.30071,11.078869
Thun,199115,46.754692,7.629414
Tinglev st,533269,54.936172,9.258234
Traunstein,372690,47.86973,12.638802
Trento,483943,46.07229,11.1189
Treuchtlingen,246806,48.96127,10.908162
Treysa,469433,50.91066,9.185673
Triberg,497996,48.139854,8.236904
Tullnerfeld,654443,48.295235,15.996536
Tuttlingen,372937,47.980335,8.79942
Tutzing,611267,47.9074,11.273731
Tübingen,448543,48.516148,9.055575
Uelzen,330249,52.96979,10.553017
Ulm,526588,48.399364,9.984146
Unna,440223,51.538776,7.693199
Usti nad Labem hl.n.,515257,50.65956,14.044728
Utrecht Centraal,371044,52.089397,5.109861
Vac,646043,47.782726,19.13306
Vaihingen,350059,48.94815,8.957578
Vamdrup st,527968,55.428093,9.286454
Vejle st,365163,55.706356,9.536869
Velden am Wörther See,138250,46.62005,14.044838
Velgast,380818,54.277256,12.803149
Venezia Mestre,445817,45.481907,12.231898
Venezia Santa Lucia,536026,45.441395,12.320459
Venlo,190780,51.340893,6.192712
Verden,303610,52.920864,9.237906
Verona Porta Nuova,347626,45.428658,10.982739
Vicenza,314700,45.5411,11.540777
Viersen,662200,51.2545,6.404
Villach,458102,46.618626,13.848536
Villingen Bus,1852,48.057804,8.465427
Visp,450506,46.29403,7.881465
Vojens st,603820,55.248478,9.304915
Vöcklabruck,391521,48.010067,13.663703
Wabern,344882,51.103134,9.35804
Warburg,91316,51.492752,9.163858
Waren,33600,53.52151,12.681077
Warnemünde,513002,54.17711,12.090839
Warszawa Centralna,516259,52.22886,21.003235
Warszawa Gdanska,267003,52.259182,20.99371
Warszawa Wschodnia,82947,52.25155,21.052336
Warszawa Zachodnia,602140,52.21997,20.965246
Weil am Rhein,108942,47.593693,7.608739
Weilheim,109314,47.845364,11.142855
Weimar,114368,50.991486,11.326463
Weinheim,174640,49.55333,8.665697
Weißenfels,622261,51.204613,11.970925
Wels,141190,48.166077,14.026569
Werdohl,618289,51.259167,7.757734
Werfen,178010,47.4726,13.195183
Westerland,550091,54.90688,8.310999
Westerstede-Ocholt,450143,53.20229,7.886531
Wetzlar,96419,50.56566,8.504213
Wien,670861,48.1851,16.377113
Wien Meidling,430291,48.17445,16.333088
Wiener Neustadt,135970,47.81056,16.233187
Wiesbaden,142759,50.069477,8.244631
Wiesloch-Walldorf,465563,49.291016,8.664449
Winterthur,221188,47.500336,8.723821
Witten,257920,51.43542,7.330217
Wittenberge,275009,53.003117,11.762871
Wloszczowa Polnoc,513313,50.85811,19.947002
Wolfsburg,140274,52.42946,10.78776
Worms,218904,49.635113,8.356955
Wroclaw Glowny,428072,51.097946,17.036674
Wuppertal,159953,51.25508,7.149323
Wörgl,172396,47.4918,12.060581
Würzburg,550076,49.801796,9.93578
Zabrze,515412,50.30528,18.786947
Zagreb Glavni kolodvor,126041,45.80444,15.978705
Zapresic,553137,45.844494,15.813187
Zbaszynek,167148,52.242508,15.818092
Zebrzydowice,243844,49.87049,18.623697
Zebrzydowice,585874,49.881973,18.576674
Zell am See,411388,47.32052,12.796571
Zidani Most,661531,46.085587,15.170324
Zielona Gora Gl.,437621,51.947437,15.513709
Zürich Flughafen,52098,47.450386,8.562402
Zürich HB,104196,47.378178,8.540212
Züssow,620099,53.97505,13.547026
Ötztal,237368,47.238483,10.859114
Übersee,595415,47.822044,12.487337
